|Drug Name|disease_type|drug_outcome|trial_count|trial_actual_duration|number_of_primary_outcomes_to_measure|number_of_secondary_outcomes_to_measure|number_of_arms|adult|child|has_single_facility|has_us_facility|healthy_volunteers|min_age|max_age|number_of_facilities|enrollment|Spacy_Pregnant_Women_Excluded|LLama3_2_Criteria_Robustness|LLM_GBT_4o_Human_Importance_Ratings|new_therapy_area_Autoimmune|new_therapy_area_Bone|new_therapy_area_Cardiovascular|new_therapy_area_Dermatology|new_therapy_area_Endocrinology|new_therapy_area_Gastrointestinal|new_therapy_area_Genetic and Rare Diseases|new_therapy_area_Hematology|new_therapy_area_Hepatic diseases|new_therapy_area_Infections (bacterial)|new_therapy_area_Infections (viral)|new_therapy_area_Infectious Diseases|new_therapy_area_Metabolic disorders|new_therapy_area_Neurology|new_therapy_area_Neuroscience (non-progressive)|new_therapy_area_Oncology|new_therapy_area_Ophthalmology|new_therapy_area_Other|new_therapy_area_Pain|new_therapy_area_Progressive neurological disorders|new_therapy_area_Psychiatry and Mental Health|new_therapy_area_Respiratory|new_therapy_area_Rheumatology|new_therapy_area_Urology and Reproductive Health|gender_ALL|gender_FEMALE|gender_MALE|total_days_since_first_start|avg_days_since_first_start
18|ABT-751|Lung, Non-Small Cell|0|2|21.88235294117647|1.0|3.0|2.0|1|0|0|1|0|18.0|99.0|43.294117647058826|138.52941176470588|0.0|2.0|1.0|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|False|False|False|True|1|1|808|404.0
19|ABT-751|Prostate|0|1|67.0|2.0|4.0|1.0|1|0|1|1|0|18.0|99.0|1.0|27.0|0.0|2.0|1.0|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|False|False|False|False|False|True|2055|2055.0
20|ABT-751|Unspecified Cancer|0|3|21.0|1.0833333333333333|2.8333333333333335|2.4166666666666665|1|1|0|1|0|18.0|21.0|37.75|114.5|0.0|2.0|1.0|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|False|False|False|True|1|1|1093|364.3333333333333
21|ABT-751|Unspecified Solid Tumor|0|1|43.0|2.0|6.0|2.0|1|1|0|1|0|18.0|21.0|12.0|92.0|1.0|2.0|2.0|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|False|False|False|True|1|1|1325|1325.0
22|ABT-925|Schizophrenia|0|1|10.0|1.0|4.0|4.0|1|0|0|1|0|18.0|65.0|18.0|156.0|0.0|2.0|0.0|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|True|1|1|320|320.0
23|AC-105|Other Surgery Related|0|1|19.0|1.0|1.0|2.0|1|0|0|0|0|18.0|65.0||15.0|0.0|0.0|0.0|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|False|True|1|1|593|593.0
24|AC-2592|Congestive Heart Failure|0|1|18.0|2.0|1.0|2.0|1|0|0|1|0|18.0|99.0|29.0|61.0|0.0|2.0|0.0|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|1|1|564|564.0
25|ACT-280778|Hypertension|0|1|11.0|1.0|1.0|3.0|1|0|0|0|0|18.0|75.0|18.0|196.0|0.0|0.0|0.0|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|1|1|350|350.0
26|AD-313|Insomnia|0|1||1.0|0.0|2.0|1|0|0|1|0|25.0|65.0|2.0|15.0|0.0|0.0|0.0|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|True|1|1|181|181.0
27|ADH-1|Unspecified Solid Tumor|0|1|23.0|1.0|0.0|1.0|1|0|0|1|0|18.0|99.0|7.0|56.0|0.0|2.0|1.0|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|False|False|False|True|1|1|716|716.0
28|ADX-415|Hypertension|0|1|2.0|1.0|1.0|4.0|1|0|0|1|0|18.0|75.0|3.0|80.0|0.0|2.0|0.0|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|1|1|77|77.0
29|AEE-788|CNS, Glioblastoma|0|1|22.0|2.0|1.0|2.0|1|0|0|1|0|18.0|99.0|4.0|64.0|0.0|2.0|1.0|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|False|False|False|True|1|1|685|685.0
30|AEE-788|CNS, Other|0|1|32.0|1.0|5.0|2.0|1|0|0|1|0|18.0|99.0|3.0|16.0|1.0|2.0|1.0|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|False|False|False|False|True|1|1|989|989.0
31|AEE-788|Unspecified Solid Tumor|0|1|32.0|1.0|5.0|2.0|1|0|0|1|0|18.0|99.0|3.0|16.0|1.0|2.0|1.0|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|False|False|False|True|1|1|989|989.0
32|AEG-35156|Unspecified Cancer|0|2|13.8|1.0|1.4|2.0|1|0|0|1|0|18.0|99.0|14.8|60.4|1.0|2.0|1.0|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|False|False|False|True|1|1|1081|540.5
33|AEM-28|Dyslipidemia|0|1|8.0|3.0|1.0|2.0|1|0|1|0|1|18.0|75.0|1.0|52.0|0.0|0.0|0.0|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|1|1|260|260.0
34|AGN-211745|Age-Related Macular Degeneration|0|2|24.2|1.0|4.0|4.8|1|0|0|1|0|50.0|99.0|2.6|93.2|0.0|2.0|1.0|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|False|False|True|1|1|1446|723.0
35|AGS-16C3F|Renal|0|1||1.0|21.0|2.0|1|0|0|1|0|18.0|99.0|26.0|133.0|1.0|2.0|1.0|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|False|False|False|True|1|1|1613|1613.0
36|AGS-16C3F|Renal Disease|0|1||1.0|21.0|2.0|1|0|0|1|0|18.0|99.0|26.0|133.0|1.0|2.0|1.0|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|False|True|1|1|1613|1613.0
37|AGT-181|Other Genetic Failure/Mutation|0|2||1.5|5.0|1.5|1|1|1|0|0|2.0|99.0|1.0|20.0|0.0|0.0|0.0|False|False|False|False|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|1|1|840|420.0
38|AL-78898A|Age-Related Macular Degeneration|0|2|7.5|1.5|2.0|2.0|1|0|1|1|0|52.5|99.0|1.0|54.5|0.0|0.0|0.0|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|False|False|True|1|1|534|267.0
39|ALN-AAT-02|Liver|0|1||1.0|7.0|4.0|1|0|1|0|1|18.0|65.0|1.0|32.0|0.0|2.0|1.0|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|False|False|False|True|1|1|568|568.0
40|ALN-XDH|Hyperuricemia/Gout|0|1||3.0|14.0|7.0|1|0|1|0|1|18.0|65.0|1.0|44.0|0.0|2.0|1.0|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|False|False|False|False|False|False|True|1|1|334|334.0
41|ALT-836|Pain (nociceptive)|0|1|42.0|2.0|9.0|2.0|1|0|0|1|0|18.0|99.0|20.0|150.0|0.0|0.0|0.0|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|True|1|1|1295|1295.0
42|ALT-836|Respiratory Infections|0|1|42.0|2.0|9.0|2.0|1|0|0|1|0|18.0|99.0|20.0|150.0|0.0|0.0|0.0|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|True|1|1|1295|1295.0
43|ALT-836|Sepsis|0|1|42.0|2.0|9.0|2.0|1|0|0|1|0|18.0|99.0|20.0|150.0|1.0|2.0|0.0|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|1|1|1295|1295.0
44|AMG-108|Rheumatoid Arthritis|0|2|20.375|1.0|2.875|3.25|1|0|0|0|0|18.0|70.0||766.875|1.0|2.0|1.0|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|False|True|1|1|838|419.0
45|AMG-151|Type 1 Diabetes|0|1|13.0|1.0|2.0|7.0|1|0|0|1|0|18.0|75.0|77.0|236.0|0.0|0.0|0.0|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|1|1|412|412.0
46|AMG-151|Type 2 Diabetes|0|1|13.0|1.0|2.0|7.0|1|0|0|1|0|18.0|75.0|77.0|236.0|0.0|0.0|0.0|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|False|False|False|False|False|False|True|1|1|412|412.0
47|AMG-301|Migraine|0|1||1.0|13.0|3.0|1|0|0|1|0|18.0|60.0|49.0|343.0|0.0|2.0|1.0|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|False|False|False|False|True|1|1|405|405.0
48|AMG-337|Unspecified Solid Tumor|0|2|32.0|1.05|8.35|1.0|1|0|0|1|0|18.1|99.0|92.35|57.55|0.0|2.0|1.0|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|False|False|False|True|1|1|989|494.5
49|AMG-719|Rheumatoid Arthritis|0|1|25.0|1.0|1.0|4.0|1|0|0|0|0|18.0|99.0||53.0|0.0|0.0|1.0|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|False|True|1|1|777|777.0
50|APD-405|Supportive Care|0|1|6.0|1.0|0.0|5.0|1|0|0|1|0|18.0|99.0|18.0|257.0|0.0|0.0|0.0|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|False|True|1|1|199|199.0
51|APD-418|Other Heart Disease/Failure|0|1||1.0|29.0|3.0|1|0|0|1|0|18.0|85.0|21.0|22.0|0.0|2.0|1.0|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|False|True|1|1|265|265.0
52|AR-08|Attention Deficit Hyperactive Disorder|0|1|16.0|1.0|3.0|4.0|0|1|0|1|0|6.0|17.0|13.0|122.0|0.0|2.0|0.0|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|True|1|1|503|503.0
53|AR-101|Other Genetic Failure/Mutation|0|1||1.0|10.0|2.0|0|1|0|1|0|6.0|17.0|25.0|148.0|0.0|0.0|0.0|False|False|False|False|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|1|1|744|744.0
54|ARC-520|HBV|0|1||1.0|12.0|13.0|1|0|0|0|0|18.0|65.0|2.0|58.0|0.0|0.0|0.0|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|True|1|1|1053|1053.0
55|ARQ-501|Unspecified Cancer|0|1|21.0|1.0|1.0|1.0|1|0|1|1|0|18.0|99.0|1.0|1.0|0.0|2.0|0.0|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|False|False|False|True|1|1|655|655.0
56|ARRY-382|Unspecified Solid Tumor|0|1||2.0|24.0|2.0|1|0|0|1|0|18.0|99.0|30.0|82.0|0.0|2.0|2.0|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|False|False|False|True|1|1|1111|1111.0
57|ASK-8007|Rheumatoid Arthritis|0|1|21.0|1.0|1.0|2.0|1|0|0|0|0|18.0|99.0|10.0|54.0|0.0|2.0|0.0|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|False|True|1|1|654|654.0
58|ASM-8|Asthma|0|1|9.0|1.0|4.0|2.0|1|0|0|0|0|18.0|65.0|10.0|10.0|0.0|2.0|0.0|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|True|1|1|288|288.0
59|ASN-100|Respiratory Infections|0|1||1.0|7.0|2.0|1|0|0|1|0|18.0|99.0|93.0|155.0|0.0|2.0|2.0|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|True|1|1|611|611.0
60|ASP-0739|Lung, Non-Small Cell|0|1||29.0|10.0|3.0|1|0|0|1|0|18.0|99.0|6.0|16.0|0.0|0.0|0.0|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|False|False|False|True|1|1|525|525.0
61|ASP-0739|Ovarian|0|1||29.0|10.0|3.0|1|0|0|1|0|18.0|99.0|6.0|16.0|0.0|2.0|1.0|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|False|False|False|True|1|1|525|525.0
62|ASP-0739|Unspecified Cancer|0|1||29.0|10.0|3.0|1|0|0|1|0|18.0|99.0|6.0|16.0|0.0|0.0|0.0|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|False|False|False|True|1|1|525|525.0
63|ASP-0739|Unspecified Solid Tumor|0|1||29.0|10.0|3.0|1|0|0|1|0|18.0|99.0|6.0|16.0|0.0|0.0|0.0|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|False|False|False|True|1|1|525|525.0
64|ASP-0819|Pain (neuropathic)|0|1||6.0|8.0|2.0|1|0|0|1|0|18.0|80.0|24.0|186.0|0.0|0.0|0.0|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|True|1|1|344|344.0
65|ASP-1128|Diabetic Complications|0|1||1.0|5.0|3.0|1|0|0|1|0|35.0|99.0|27.0|351.0|1.0|2.0|1.0|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|False|False|False|False|False|False|True|1|1|633|633.0
66|ASP-1650|Unspecified Solid Tumor|0|1||2.0|12.0|2.0|1|0|0|1|0|18.0|99.0|3.0|19.0|0.0|2.0|1.0|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|False|False|False|False|False|True|577|577.0
67|ASP-3291|Ulcerative Colitis|0|1|21.0|1.0|3.0|2.0|1|0|0|0|0|18.0|65.0||112.0|0.0|2.0|1.0|False|False|False|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|1|1|654|654.0
68|ASP-3652|Bladder|0|1||1.0|14.0|4.0|1|0|0|0|0|18.0|99.0|60.0|287.0|0.0|0.0|0.0|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|False|False|False|False|True|False|656|656.0
69|ASP-3652|Other Autoimmune Related|0|1|20.0|1.0|15.0|6.0|1|0|0|0|0|18.0|99.0|49.0|239.0|0.0|0.0|0.0|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|False|False|False|True|624|624.0
70|ASP-3652|Pain (nociceptive)|0|2|20.0|1.0|14.518518518518519|5.037037037037037|1|0|0|0|0|18.0|99.0|54.2962962962963|262.1111111111111|0.0|2.0|0.0|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|False|True|False|1007|503.5
71|ASP-4070|Allergic Rhinitis|0|1||1.0|15.0|3.0|1|0|1|0|0|20.0|64.0|1.0|150.0|0.0|1.0|0.0|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|True|1|1|288|288.0
72|ASP-4345|Schizophrenia|0|1||6.0|2.0|3.0|1|0|0|1|0|18.0|55.0|27.0|233.0|0.0|0.0|0.0|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|True|1|1|465|465.0
73|ASP-4901|Benign Prostatic Hyperplasia|0|1||1.0|5.0|3.0|1|0|0|0|0|40.0|74.0|2.0|320.0|0.0|2.0|0.0|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|True|256|256.0
74|ASP-4901|Prostate|0|1||1.0|5.0|3.0|1|0|0|0|0|40.0|74.0|2.0|320.0|0.0|2.0|0.0|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|False|False|False|False|False|True|256|256.0
75|ASP-5094|Rheumatoid Arthritis|0|1||1.0|33.0|2.0|1|0|0|0|0|20.0|99.0|31.0|66.0|0.0|2.0|1.0|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|False|True|1|1|355|355.0
76|ASP-6294|Bladder|0|1||1.0|6.0|2.0|1|0|0|0|0|18.0|99.0|28.0|119.0|1.0|2.0|0.0|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|False|False|False|False|True|False|539|539.0
77|ASP-6294|Pain (nociceptive)|0|1||1.0|6.0|2.0|1|0|0|0|0|18.0|99.0|28.0|119.0|1.0|2.0|0.0|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|False|True|False|539|539.0
78|ASP-7517|Metastatic Cancer|0|1||9.0|12.0|4.0|1|0|0|1|0|18.0|99.0|4.0|24.0|0.0|0.0|0.0|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|False|False|False|True|1|1|928|928.0
79|ASP-7517|Unspecified Cancer|0|1||9.0|12.0|4.0|1|0|0|1|0|18.0|99.0|4.0|24.0|0.0|2.0|1.0|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|False|False|False|True|1|1|928|928.0
80|ASP-7962|Osteoarthritis|0|1||1.0|19.0|3.0|1|0|0|0|0|18.0|80.0|34.0|215.0|0.0|2.0|0.0|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|False|True|1|1|559|559.0
81|ASP-7962|Pain (nociceptive)|0|1||1.0|19.0|3.0|1|0|0|0|0|18.0|80.0|34.0|215.0|0.0|0.0|0.0|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|True|1|1|559|559.0
82|ASP-7991|Thyroid|0|1||1.0|6.0|2.0|1|0|0|0|0|20.0|79.0|6.0|62.0|0.0|0.0|0.0|False|False|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|1|1|241|241.0
83|ASP-8232|Diabetic Complications|0|3||2.2|4.4|2.066666666666667|1|0|0|1|1|21.4|84.0|43.8|109.06666666666666|1.0|2.0|0.0|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|False|False|False|False|False|False|True|1|1|1136|378.6666666666667
84|ASP-8232|Type 1 Diabetes|0|1||1.0|3.0|3.0|1|0|0|1|0|18.0|85.0|21.0|96.0|0.0|2.0|1.0|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|1|1|578|578.0
85|ASP-8232|Type 2 Diabetes|0|3||2.2|4.4|2.066666666666667|1|0|0|1|1|21.4|84.0|43.8|109.06666666666666|0.0|2.0|1.0|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|False|False|False|False|False|False|True|1|1|1136|378.6666666666667
86|ASP-8232|Unspecified Cancer|0|1||7.0|10.0|2.0|1|0|0|0|1|35.0|80.0|3.0|55.0|0.0|0.0|0.0|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|False|False|False|True|1|1|358|358.0
87|ASP-8302|Bladder|0|1||1.0|2.0|2.0|1|0|0|0|0|18.0|99.0|29.0|135.0|0.0|2.0|0.0|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|False|False|False|True|1|1|525|525.0
88|ASP-8477|Diabetic Complications|0|1||1.0|5.0|2.0|1|0|0|0|0|18.0|99.0|17.0|132.0|0.0|0.0|0.0|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|False|False|False|False|False|False|True|1|1|354|354.0
89|ASP-8477|Other Infection|0|1||1.0|5.0|2.0|1|0|0|0|0|18.0|99.0|17.0|132.0|0.0|0.0|0.0|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|1|1|354|354.0
90|ASP-8477|Pain (neuropathic)|0|1||1.0|5.0|2.0|1|0|0|0|0|18.0|99.0|17.0|132.0|0.0|2.0|1.0|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|True|1|1|354|354.0
91|ASP-9521|Prostate|0|1|18.0|1.0|1.0|1.0|1|0|0|0|0|18.0|99.0|4.0|13.0|0.0|2.0|0.0|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|False|False|False|False|False|True|565|565.0
92|ASP-9831|Liver|0|1|30.0|1.0|0.0|3.0|1|0|0|0|0|18.0|99.0|30.0|114.0|0.0|2.0|0.0|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|False|False|False|True|1|1|929|929.0
