|trial_drug_cleaned|disease_type|drug_outcome|nct_id|pcd|enrollment|actual_duration|number_of_primary_outcomes_to_measure|number_of_secondary_outcomes_to_measure|number_of_arms|adult|child|has_single_facility|has_us_facility|healthy_volunteers|gender_f|gender_m|minimum_age_num|maximum_age_num|number_of_facilities|Spacy_Pregnant_Women_Excluded|LLama3_2_Criteria_Robustness|LLM_GBT_4o_Human_Importance_Ratings|days_since_first_start|cumsum_enrollment|cumavg_enrollment|cumsum_trial_duration|cumavg_trial_duration|cumulative_number_of_primary_outcomes_to_measure|cumulative_number_of_secondary_outcomes_to_measure|cumulative_number_of_arms|cumulative_adult|cumulative_child|cumulative_single_facility|cumulative_us_facility|cumulative_healthy_volunteers|cumulative_gender_f|cumulative_gender_m|cumulative_min_age|cumulative_max_age|cumulative_number_of_facilities|cumulative_Spacy_Pregnant_Women_Excluded|cumulative_LLama3_2_Criteria_Robustness|cumulative_LLM_GPT_4o_Human_Importance_Ratings|pair_trial_seq|new_therapy_area_Autoimmune|new_therapy_area_Bone|new_therapy_area_Cardiovascular|new_therapy_area_Dermatology|new_therapy_area_Endocrinology|new_therapy_area_Gastrointestinal|new_therapy_area_Genetic and Rare Diseases|new_therapy_area_Hematology|new_therapy_area_Hepatic diseases|new_therapy_area_Infections (bacterial)|new_therapy_area_Infections (viral)|new_therapy_area_Infectious Diseases|new_therapy_area_Metabolic disorders|new_therapy_area_Neurology|new_therapy_area_Neuroscience (non-progressive)|new_therapy_area_Oncology|new_therapy_area_Ophthalmology|new_therapy_area_Other|new_therapy_area_Pain|new_therapy_area_Progressive neurological disorders|new_therapy_area_Psychiatry and Mental Health|new_therapy_area_Respiratory|new_therapy_area_Rheumatology|new_therapy_area_Urology and Reproductive Health
5983|abemaciclib|Breast|1|NCT03703466|2019-07-29|72.0||6.0|3.0|3.0|1|0|0|0|0|1|1|18.0|99.0|15.0|0.0|2.0|0.0|1875|204.0|102.0|||7.0|11.0|4.0|1.0|0.0|0.0|1.0|0.0|1.0|1.0|18.0|99.0|36.0|0.0|2.0|1.0|2.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
5999|abemaciclib|Metastatic Cancer|1|NCT02102490|2016-04-30|132.0||1.0|8.0|1.0|1|0|0|1|0|1|0|18.0|99.0|36.0|0.0|2.0|1.0|690|132.0|132.0|||1.0|8.0|1.0|1.0|0.0|0.0|1.0|0.0|1.0|0.0|18.0|99.0|36.0|0.0|2.0|1.0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
5993|abemaciclib|Metastatic Cancer|1|NCT03703466|2019-07-29|72.0||6.0|3.0|3.0|1|0|0|0|0|1|1|18.0|99.0|15.0|0.0|2.0|0.0|1875|204.0|102.0|||7.0|11.0|4.0|1.0|0.0|0.0|1.0|0.0|1.0|1.0|18.0|99.0|36.0|0.0|2.0|1.0|2.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
19657|abih2158|HBV|0|NCT04398134|2021-10-14|88.0||4.0|13.0|2.0|1|0|0|1|0|1|1|18.0|65.0|44.0|0.0|2.0|1.0|412|88.0|88.0|||4.0|13.0|2.0|1.0|0.0|0.0|1.0|0.0|1.0|1.0|18.0|65.0|44.0|0.0|2.0|1.0|1.0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0
5635|abiraterone|Prostate|1|NCT00924469|2012-02-29|58.0|27.0|2.0|7.0|2.0|1|0|0|1|0|0|1|18.0|99.0|4.0|0.0|2.0|1.0|836|58.0|58.0|27.0|27.0|2.0|7.0|2.0|1.0|0.0|0.0|1.0|0.0|0.0|1.0|18.0|99.0|4.0|0.0|2.0|1.0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
5636|abiraterone|Prostate|1|NCT01424930|2013-04-30|25.0|18.0|1.0|3.0|2.0|1|0|0|0|0|0|1|18.0|99.0|2.0|0.0|2.0|1.0|1262|83.0|41.5|45.0|22.5|3.0|10.0|4.0|1.0|0.0|0.0|1.0|0.0|0.0|1.0|18.0|99.0|4.0|0.0|2.0|1.0|2.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
5638|abiraterone|Prostate|1|NCT01756638|2014-10-17|48.0||1.0|10.0|1.0|1|0|0|0|0|0|1|20.0|99.0|19.0|0.0|2.0|0.0|1797|131.0|43.666666666666664|45.0|22.5|4.0|20.0|5.0|1.0|0.0|0.0|1.0|0.0|0.0|1.0|18.0|99.0|19.0|0.0|2.0|1.0|3.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
5642|abiraterone|Prostate|1|NCT01795703|2014-10-31|47.0|28.0|1.0|10.0|1.0|1|0|0|0|0|0|1|20.0|99.0|18.0|0.0|2.0|1.0|1811|178.0|44.5|73.0|24.333333333333332|5.0|30.0|6.0|1.0|0.0|0.0|1.0|0.0|0.0|1.0|18.0|99.0|19.0|0.0|2.0|1.0|4.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
5622|abiraterone|Prostate|1|NCT01485861|2015-09-01|298.0||5.0|40.0|6.0|1|0|0|1|0|0|1|18.0|99.0|59.0|0.0|2.0|1.0|2116|476.0|95.2|73.0|24.333333333333332|10.0|70.0|12.0|1.0|0.0|0.0|1.0|0.0|0.0|1.0|18.0|99.0|59.0|0.0|2.0|1.0|5.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
5634|abiraterone|Prostate|1|NCT01828476|2016-02-29|13.0|32.0|1.0|7.0|2.0|1|0|1|1|0|0|1|18.0|99.0|1.0|0.0|2.0|1.0|2297|489.0|81.5|105.0|26.25|11.0|77.0|14.0|1.0|0.0|1.0|1.0|0.0|0.0|1.0|18.0|99.0|59.0|0.0|2.0|1.0|6.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
5637|abiraterone|Prostate|1|NCT01553188|2017-04-20|36.0||1.0|3.0|3.0|1|0|0|1|0|0|1|18.0|100.0|2.0|0.0|2.0|2.0|2713|525.0|75.0|105.0|26.25|12.0|80.0|17.0|1.0|0.0|1.0|1.0|0.0|0.0|1.0|18.0|100.0|59.0|0.0|2.0|2.0|7.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
5639|abiraterone|Prostate|1|NCT02867020|2019-10-09|128.0||1.0|18.0|3.0|1|0|0|0|0|0|1|18.0|99.0|14.0|0.0|2.0|1.0|3615|653.0|81.625|105.0|26.25|13.0|98.0|20.0|1.0|0.0|1.0|1.0|0.0|0.0|1.0|18.0|100.0|59.0|0.0|2.0|2.0|8.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
5633|abiraterone|Prostate|1|NCT03418324|2019-11-06|11.0||1.0|6.0|2.0|1|0|1|1|0|0|1|18.0|99.0|1.0|0.0|2.0|0.0|3643|664.0|73.77777777777777|105.0|26.25|14.0|104.0|22.0|1.0|0.0|1.0|1.0|0.0|0.0|1.0|18.0|100.0|59.0|0.0|2.0|2.0|9.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
5641|abiraterone|Prostate|1|NCT02789878|2022-04-30|64.0||1.0|6.0|2.0|1|0|1|0|0|0|1|18.0|80.0|1.0|0.0|2.0|1.0|4549|728.0|72.8|105.0|26.25|15.0|110.0|24.0|1.0|0.0|1.0|1.0|0.0|0.0|1.0|18.0|100.0|59.0|0.0|2.0|2.0|10.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
21010|abrilumab|Crohn's Disease|0|NCT01696396|2014-12-26|254.0||1.0|7.0|4.0|1|0|0|1|0|1|1|18.0|65.0|84.0|1.0|2.0|1.0|752|254.0|254.0|||1.0|7.0|4.0|1.0|0.0|0.0|1.0|0.0|1.0|1.0|18.0|65.0|84.0|1.0|2.0|1.0|1.0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
20382|abt072|HCV|0|NCT00872196|2010-04-30|5.0|12.0|2.0|1.0|1.0|1|0|1|1|0|1|1|18.0|65.0|1.0|0.0|0.0|0.0|380|5.0|5.0|12.0|12.0|2.0|1.0|1.0|1.0|0.0|1.0|1.0|0.0|1.0|1.0|18.0|65.0|1.0|0.0|0.0|0.0|1.0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0
20370|abt072|HCV|0|NCT01221298|2011-05-31|11.0|7.0|1.0|6.0|1.0|1|0|0|1|0|1|1|18.0|65.0|4.0|0.0|2.0|0.0|776|16.0|8.0|19.0|9.5|3.0|7.0|2.0|1.0|0.0|1.0|1.0|0.0|1.0|1.0|18.0|65.0|4.0|0.0|2.0|0.0|2.5|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0
20371|abt072|HCV|0|NCT01221298|2011-05-31|11.0|7.0|1.0|6.0|1.0|1|0|0|1|0|1|1|18.0|65.0|4.0|0.0|0.0|0.0|776|27.0|9.0|26.0|8.666666666666666|4.0|13.0|3.0|1.0|0.0|1.0|1.0|0.0|1.0|1.0|18.0|65.0|4.0|0.0|2.0|0.0|2.5|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0
20374|abt072|HCV|0|NCT01074008|2011-06-30|74.0|15.0|13.0|3.0|9.0|1|0|0|1|0|1|1|18.0|65.0|26.0|0.0|1.0|1.0|806|101.0|25.25|41.0|10.25|17.0|16.0|12.0|1.0|0.0|1.0|1.0|0.0|1.0|1.0|18.0|65.0|26.0|0.0|2.0|1.0|4.5|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0
20376|abt072|HCV|0|NCT01074008|2011-06-30|74.0|15.0|13.0|3.0|9.0|1|0|0|1|0|1|1|18.0|65.0|26.0|0.0|0.0|0.0|806|175.0|35.0|56.0|11.2|30.0|19.0|21.0|1.0|0.0|1.0|1.0|0.0|1.0|1.0|18.0|65.0|26.0|0.0|2.0|1.0|4.5|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0
19368|abt288|Alzheimer's Disease|0|NCT01018875|2011-02-28|242.0|14.0|1.0|4.0|4.0|1|0|0|0|0|1|1|55.0|90.0|21.0|0.0|0.0|0.0|440|242.0|242.0|14.0|14.0|1.0|4.0|4.0|1.0|0.0|0.0|0.0|0.0|1.0|1.0|55.0|90.0|21.0|0.0|0.0|0.0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
19370|abt384|Alzheimer's Disease|0|NCT01137526|2011-07-31|267.0|14.0|1.0|4.0|4.0|1|0|0|0|0|1|1|55.0|90.0|30.0|0.0|0.0|0.0|442|267.0|267.0|14.0|14.0|1.0|4.0|4.0|1.0|0.0|0.0|0.0|0.0|1.0|1.0|55.0|90.0|30.0|0.0|0.0|0.0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
20177|abt436|Alcohol Dependence|0|NCT01613014|2015-05-31|150.0|27.0|1.0|0.0|2.0|1|0|0|1|0|1|1|21.0|65.0|5.0|1.0|2.0|0.0|835|150.0|150.0|27.0|27.0|1.0|0.0|2.0|1.0|0.0|0.0|1.0|0.0|1.0|1.0|21.0|65.0|5.0|1.0|2.0|0.0|1.5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0
20178|abt436|Alcohol Dependence|0|NCT01613014|2015-05-31|150.0|27.0|1.0|0.0|2.0|1|0|0|1|0|1|1|21.0|65.0|5.0|0.0|0.0|0.0|835|300.0|150.0|54.0|27.0|2.0|0.0|4.0|1.0|0.0|0.0|1.0|0.0|1.0|1.0|21.0|65.0|5.0|1.0|2.0|0.0|1.5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0
23068|abt510|Head/Neck|0|NCT00113334|2008-03-31|6.0|35.0|1.0|0.0|1.0|1|0|1|1|0|1|1|18.0|99.0|1.0|1.0|2.0|1.0|1081|6.0|6.0|35.0|35.0|1.0|0.0|1.0|1.0|0.0|1.0|1.0|0.0|1.0|1.0|18.0|99.0|1.0|1.0|2.0|1.0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
23076|abt639|Diabetic Complications|0|NCT01345045|2011-10-31|193.0|6.0|1.0|3.0|3.0|1|0|0|1|0|1|1|18.0|75.0|35.0|0.0|2.0|0.0|199|193.0|193.0|6.0|6.0|1.0|3.0|3.0|1.0|0.0|0.0|1.0|0.0|1.0|1.0|18.0|75.0|35.0|0.0|2.0|0.0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0
23075|abt639|Diabetic Complications|0|NCT01589432|2012-11-30|39.0|7.0|1.0|1.0|3.0|1|0|1|0|0|1|1|18.0|75.0|1.0|0.0|2.0|0.0|595|232.0|116.0|13.0|6.5|2.0|4.0|6.0|1.0|0.0|1.0|1.0|0.0|1.0|1.0|18.0|75.0|35.0|0.0|2.0|0.0|2.0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0
23070|abt639|Pain (neuropathic)|0|NCT01345045|2011-10-31|193.0|6.0|1.0|3.0|3.0|1|0|0|1|0|1|1|18.0|75.0|35.0|0.0|2.0|0.0|199|193.0|193.0|6.0|6.0|1.0|3.0|3.0|1.0|0.0|0.0|1.0|0.0|1.0|1.0|18.0|75.0|35.0|0.0|2.0|0.0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
23069|abt639|Pain (neuropathic)|0|NCT01589432|2012-11-30|39.0|7.0|1.0|1.0|3.0|1|0|1|0|0|1|1|18.0|75.0|1.0|0.0|2.0|0.0|595|232.0|116.0|13.0|6.5|2.0|4.0|6.0|1.0|0.0|1.0|1.0|0.0|1.0|1.0|18.0|75.0|35.0|0.0|2.0|0.0|2.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
23100|abt652|Osteoarthritis|0|NCT01207115|2011-05-31|322.0|8.0|1.0|4.0|4.0|1|0|0|1|0|1|1|40.0|75.0|38.0|0.0|2.0|0.0|258|322.0|322.0|8.0|8.0|1.0|4.0|4.0|1.0|0.0|0.0|1.0|0.0|1.0|1.0|40.0|75.0|38.0|0.0|2.0|0.0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0
16271|abt751|Leukemia, Acute Lymphocytic|0|NCT00439296|2009-05-19|9.0|36.0|2.0|1.0|7.0|1|1|0|1|0|1|1|18.0|21.0|5.0|0.0|0.0|0.0|1093|9.0|9.0|36.0|36.0|2.0|1.0|7.0|1.0|1.0|0.0|1.0|0.0|1.0|1.0|18.0|21.0|5.0|0.0|0.0|0.0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
505|abt751|Lung, Non-Small Cell|0|NCT00354562|2008-02-29|75.0|12.0|1.0|3.0|2.0|1|0|0|1|0|1|1|18.0|99.0|32.0|0.0|2.0|1.0|471|75.0|75.0|12.0|12.0|1.0|3.0|2.0|1.0|0.0|0.0|1.0|0.0|1.0|1.0|18.0|99.0|32.0|0.0|2.0|1.0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
510|abt751|Lung, Non-Small Cell|0|NCT00297089|2009-01-31|165.0|26.0|1.0|3.0|2.0|1|0|0|1|0|1|1|18.0|99.0|48.0|0.0|0.0|0.0|808|240.0|120.0|38.0|19.0|2.0|6.0|4.0|1.0|0.0|0.0|1.0|0.0|1.0|1.0|18.0|99.0|48.0|0.0|2.0|1.0|2.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
5703|abt751|Prostate|0|NCT00471718|2009-08-31|27.0|67.0|2.0|4.0|1.0|1|0|1|1|0|0|1|18.0|99.0|1.0|0.0|2.0|1.0|2055|27.0|27.0|67.0|67.0|2.0|4.0|1.0|1.0|0.0|1.0|1.0|0.0|0.0|1.0|18.0|99.0|1.0|0.0|2.0|1.0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
522|abt751|Unspecified Cancer|0|NCT00354562|2008-02-29|75.0|12.0|1.0|3.0|2.0|1|0|0|1|0|1|1|18.0|99.0|32.0|0.0|0.0|0.0|648|75.0|75.0|12.0|12.0|1.0|3.0|2.0|1.0|0.0|0.0|1.0|0.0|1.0|1.0|18.0|99.0|32.0|0.0|0.0|0.0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
528|abt751|Unspecified Cancer|0|NCT00297089|2009-01-31|165.0|26.0|1.0|3.0|2.0|1|0|0|1|0|1|1|18.0|99.0|48.0|0.0|2.0|1.0|985|240.0|120.0|38.0|19.0|2.0|6.0|4.0|1.0|0.0|0.0|1.0|0.0|1.0|1.0|18.0|99.0|48.0|0.0|2.0|1.0|2.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
527|abt751|Unspecified Cancer|0|NCT00439296|2009-05-19|9.0|36.0|2.0|1.0|7.0|1|1|0|1|0|1|1|18.0|21.0|5.0|0.0|0.0|0.0|1093|249.0|83.0|74.0|24.666666666666668|4.0|7.0|11.0|1.0|1.0|0.0|1.0|0.0|1.0|1.0|18.0|99.0|48.0|0.0|2.0|1.0|3.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
23765|abt751|Unspecified Solid Tumor|0|NCT00436852|2010-09-01|92.0|43.0|2.0|6.0|2.0|1|1|0|1|0|1|1|18.0|21.0|12.0|1.0|2.0|2.0|1325|92.0|92.0|43.0|43.0|2.0|6.0|2.0|1.0|1.0|0.0|1.0|0.0|1.0|1.0|18.0|21.0|12.0|1.0|2.0|2.0|1.5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
23767|abt751|Unspecified Solid Tumor|0|NCT00436852|2010-09-01|92.0|43.0|2.0|6.0|2.0|1|1|0|1|0|1|1|18.0|21.0|12.0|0.0|0.0|0.0|1325|184.0|92.0|86.0|43.0|4.0|12.0|4.0|1.0|1.0|0.0|1.0|0.0|1.0|1.0|18.0|21.0|12.0|1.0|2.0|2.0|1.5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
